Signal Name,P_fp,R_freq,I_suppress,Occurrences,Confidence,Score,Severity,Technique,Recommendation
New Source IP Access to Hikvision Endpoint,0.0,0.011516203703703704,25.318066157760814,995,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011493055555555555,25.267175572519086,993,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011400462962962963,25.06361323155216,985,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011377314814814814,25.012722646310433,983,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011331018518518518,24.910941475826974,979,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011331018518518518,24.910941475826974,979,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011331018518518518,24.910941475826974,979,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011307870370370371,24.860050890585242,977,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011261574074074075,24.75826972010178,973,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011215277777777777,24.65648854961832,969,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011203703703703704,24.631043256997458,968,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011180555555555555,24.580152671755727,966,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.01105324074074074,24.30025445292621,955,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011030092592592593,24.24936386768448,953,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011018518518518518,24.223918575063614,952,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.011006944444444444,24.198473282442748,951,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010983796296296297,24.147582697201017,949,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010983796296296297,24.147582697201017,949,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010972222222222222,24.12213740458015,948,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010925925925925926,24.020356234096692,944,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010902777777777779,23.969465648854964,942,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.010891203703703703,23.9440203562341,941,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010833333333333334,23.81679389312977,936,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010810185185185185,23.76590330788804,934,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010810185185185185,23.76590330788804,934,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.01070601851851852,23.536895674300254,925,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.01068287037037037,23.486005089058523,923,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010636574074074074,23.384223918575064,919,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010613425925925925,23.333333333333332,917,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010590277777777778,23.282442748091604,915,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010590277777777778,23.282442748091604,915,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.01050925925925926,23.104325699745548,908,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010474537037037037,23.02798982188295,905,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010474537037037037,23.02798982188295,905,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010451388888888889,22.977099236641223,903,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010393518518518519,22.849872773536894,898,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010347222222222223,22.748091603053435,894,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.010347222222222223,22.748091603053435,894,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010335648148148148,22.72264631043257,893,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010324074074074074,22.697201017811704,892,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010300925925925925,22.646310432569976,890,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.01025462962962963,22.544529262086513,886,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010208333333333333,22.442748091603054,882,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.010081018518518519,22.16284987277354,871,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009965277777777778,21.908396946564885,861,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009942129629629629,21.857506361323157,859,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009872685185185186,21.704834605597963,853,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009872685185185186,21.704834605597963,853,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009837962962962963,21.62849872773537,850,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00980324074074074,21.552162849872776,847,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009791666666666667,21.52671755725191,846,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009791666666666667,21.52671755725191,846,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0096875,21.297709923664122,837,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009606481481481481,21.119592875318066,830,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009479166666666667,20.83969465648855,819,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009409722222222222,20.687022900763356,813,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009409722222222222,20.687022900763356,813,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.009398148148148149,20.661577608142494,812,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009328703703703704,20.508905852417303,806,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009282407407407408,20.40712468193384,802,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009282407407407408,20.40712468193384,802,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009247685185185185,20.330788804071247,799,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00912037037037037,20.050890585241728,788,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009108796296296297,20.025445292620866,787,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.009039351851851852,19.872773536895675,781,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
RDP from the Internet,0.0,0.009016203703703703,19.821882951653944,779,Low,5,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008969907407407407,19.720101781170484,775,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008935185185185185,19.643765903307887,772,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00886574074074074,19.491094147582697,766,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00880787037037037,19.36386768447837,761,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.008784722222222222,19.31297709923664,759,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00875,19.236641221374047,756,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Suspicious Remote Desktop Network Activity,0.0,0.008738425925925926,19.21119592875318,755,Low,4,Medium,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00869212962962963,19.10941475826972,751,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00866898148148148,19.05852417302799,749,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008622685185185185,18.956743002544528,745,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008541666666666666,18.778625954198475,738,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008472222222222223,18.62595419847328,732,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008460648148148148,18.60050890585242,731,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008425925925925925,18.52417302798982,728,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008391203703703705,18.447837150127228,725,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00818287037037037,17.989821882951652,707,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008171296296296296,17.964376590330787,706,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008159722222222223,17.938931297709924,705,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.008148148148148147,17.91348600508906,704,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008101851851851851,17.8117048346056,700,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.008067129629629629,17.735368956743002,697,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.008043981481481482,17.68447837150127,695,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.008020833333333333,17.63358778625954,693,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007928240740740741,17.43002544529262,685,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007916666666666667,17.404580152671755,684,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007905092592592592,17.37913486005089,683,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00787037037037037,17.302798982188293,680,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007858796296296296,17.27735368956743,679,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007835648148148149,17.226463104325703,677,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.007835648148148149,17.226463104325703,677,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007824074074074074,17.201017811704837,676,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0078125,17.17557251908397,675,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0077546296296296295,17.048346055979643,670,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
IPSEC NAT Traversal Port Activity,0.0,0.007743055555555556,17.022900763358777,669,Low,4,Medium,Encrypted Channel,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0077314814814814815,16.99745547073791,668,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007719907407407407,16.972010178117046,667,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007719907407407407,16.972010178117046,667,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0077083333333333335,16.946564885496183,666,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007673611111111111,16.87022900763359,663,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007650462962962963,16.81933842239186,661,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007627314814814815,16.768447837150127,659,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007627314814814815,16.768447837150127,659,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.007604166666666667,16.717557251908396,657,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.007534722222222222,16.56488549618321,651,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007534722222222222,16.56488549618321,651,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007534722222222222,16.56488549618321,651,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.0075,16.48854961832061,648,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007476851851851852,16.43765903307888,646,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.007418981481481481,16.31043256997455,641,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007395833333333333,16.259541984732824,639,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007349537037037037,16.157760814249365,635,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007326388888888889,16.106870229007633,633,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007314814814814815,16.081424936386767,632,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007314814814814815,16.081424936386767,632,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007314814814814815,16.081424936386767,632,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007291666666666667,16.030534351145036,630,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007291666666666667,16.030534351145036,630,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007291666666666667,16.030534351145036,630,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007268518518518519,15.97964376590331,628,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007268518518518519,15.97964376590331,628,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.007222222222222222,15.877862595419847,624,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007222222222222222,15.877862595419847,624,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007210648148148148,15.852417302798983,623,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0071875,15.801526717557252,621,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007175925925925926,15.776081424936386,620,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007141203703703703,15.69974554707379,617,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007094907407407407,15.597964376590332,613,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007094907407407407,15.597964376590332,613,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007083333333333333,15.572519083969466,612,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007071759259259259,15.5470737913486,611,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007071759259259259,15.5470737913486,611,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007060185185185185,15.521628498727736,610,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007025462962962963,15.445292620865139,607,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.007025462962962963,15.445292620865139,607,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007013888888888889,15.419847328244273,606,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.007013888888888889,15.419847328244273,606,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0070023148148148145,15.394402035623408,605,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006967592592592593,15.318066157760816,602,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0069560185185185185,15.29262086513995,601,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0069560185185185185,15.29262086513995,601,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0069560185185185185,15.29262086513995,601,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006944444444444444,15.267175572519085,600,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006944444444444444,15.267175572519085,600,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006944444444444444,15.267175572519085,600,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006921296296296296,15.216284987277353,598,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006898148148148148,15.165394402035624,596,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0068865740740740745,15.139949109414758,595,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006875,15.114503816793892,594,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.006840277777777778,15.038167938931299,591,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006840277777777778,15.038167938931299,591,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.00681712962962963,14.987277353689569,589,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006782407407407407,14.910941475826972,586,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0067476851851851856,14.834605597964376,583,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006689814814814815,14.707379134860052,578,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006678240740740741,14.681933842239186,577,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006666666666666667,14.656488549618322,576,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006608796296296297,14.529262086513995,571,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006597222222222222,14.50381679389313,570,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006585648148148148,14.478371501272264,569,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006585648148148148,14.478371501272264,569,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006585648148148148,14.478371501272264,569,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.006574074074074074,14.452926208651398,568,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.006574074074074074,14.452926208651398,568,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
